Posting Date,Plant,Material,Movement Type,Quantity,Base Unit of Measure,Cost Center,Vendor
01.01.2024,IN01,DIESEL-HSD,261,1250.50,L,CC100,FuelCo
02.01.2024,IN02,PETROL-MS,261,840,L,CC200,FuelCo
03.01.2024,IN01,LPG-BULK,261,520,KG,CC100,GasOne
01/04/2024,IN02,DIESEL-HSD,261,"1000,75",L,CC200,FuelCo
2024-01-05,IN01,PETROL-MS,201,650,L,CC300,FuelCo
06.01.2024,IN02,LPG-BULK,551,430,KG,CC200,GasOne
07.01.2024,IN01,DIESEL-HSD,261,300,MT,CC100,FuelCo
08.01.2024,IN02,PETROL-MS,101,900,L,CC200,FuelCo
09.01.2024,IN01,DIESEL-HSD,261,1125,L,CC100,FuelCo
10.01.2024,IN02,LPG-BULK,261,610,KG,CC200,GasOne
